sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-44-8117-01A-11R-2241-07,12.213027,-4.3205686,LUAD,5.0920033662514355,4.282907074337473,5.948055967491136
TCGA-50-5936-01A-11R-1628-07,12.054585,-4.9983683,LUAD,5.1167825715031245,4.449380464606868,4.90864110882611
TCGA-55-A494-01A-11R-A24X-07,12.79115,-3.6848204,LUAD,5.249307180405204,4.221828094381361,5.058510744294819
TCGA-78-7160-01A-11R-2039-07,12.598095,-5.783652,LUAD,5.156060129206984,4.651637185197049,3.980713434741056
TCGA-78-7158-01A-11R-2039-07,12.981178,-4.1477246,LUAD,5.225743062684197,4.160610144154347,4.651722588960762
TCGA-78-7149-01A-11R-2039-07,12.692774,-2.8845,LUAD,4.414132207716684,3.8009750815333874,2.3595935500237446
TCGA-64-5775-01A-01R-1628-07,11.680269,-5.197109,LUAD,5.146372378043242,4.276028692818524,4.32208720153633
TCGA-78-7147-01A-11R-2039-07,12.439514,-3.8377845,LUAD,4.715336920327221,4.116710617698018,6.180131928092207
TCGA-44-6777-01A-11R-1858-07,13.37725,-4.8471804,LUAD,5.142484422591305,4.420006111057091,5.6704269226697095
TCGA-49-4490-01A-21R-1858-07,12.881531,-3.1887956,LUAD,4.426210674285983,4.152357657103498,4.369210289261495
TCGA-NJ-A4YF-01A-12R-A262-07,11.70061,-3.689239,LUAD,4.63708176937716,3.9988401367954216,2.5036517356399206
TCGA-44-5643-01A-01R-1628-07,11.596725,-4.4500017,LUAD,5.661867231238118,4.281814136176764,4.353343356674013
TCGA-86-8674-01A-21R-2403-07,12.548478,-3.1671832,LUAD,4.502265819306781,3.754879524221801,2.171268157102596
TCGA-99-8033-01A-11R-2241-07,11.691788,-4.1818566,LUAD,4.700170280728798,4.339473103182217,5.227495803740231
TCGA-91-8497-01A-11R-2403-07,13.1826,-5.065954,LUAD,4.858853854963675,4.526752935799078,4.437314221450337
TCGA-86-7711-01A-11R-2066-07,12.726873,-4.8012657,LUAD,4.930002485282639,4.246255826099802,4.141177271348972
TCGA-55-7724-01A-11R-2170-07,13.428281,-5.8953075,LUAD,5.281832009771842,4.596398547479167,5.750997880919063
TCGA-67-3774-01A-01R-0946-07,12.654377,-5.3888183,LUAD,4.859110229948927,4.414217859511721,2.7869909596860043
TCGA-67-3773-01A-01R-0946-07,13.208928,-2.4879138,LUAD,4.3329416789939685,3.8424132708168703,3.531742637586959
TCGA-50-8460-01A-11R-2326-07,13.28497,-2.9489863,LUAD,4.4442908296309165,4.0415969038073944,4.02756030968627
TCGA-44-6146-01A-11R-1755-07,13.0399275,-5.8376017,LUAD,5.135498014626298,4.440408657719754,4.910838114263677
TCGA-86-8280-01A-11R-2287-07,12.881751,-4.3895116,LUAD,4.9722494782787745,4.502357311128137,5.466151461628475
TCGA-55-8615-01A-11R-2403-07,12.452579,-3.264181,LUAD,4.675956524774092,4.031725757468701,4.2075686720953644
TCGA-50-5930-01A-11R-1755-07,12.690322,-4.6545916,LUAD,4.777950705064266,4.297417906369877,3.38008499774112
TCGA-44-2662-01A-01R-A278-07,13.682411,-4.5325336,LUAD,5.409145031969748,4.247374678731108,5.165254546108315
TCGA-62-A46V-01A-11R-A24H-07,13.408532,-3.6226456,LUAD,4.923847944943768,4.161459861856763,4.800726446628096
TCGA-55-7281-01A-11R-2039-07,13.212405,-3.2917259,LUAD,4.764040963515556,4.249861174141303,3.125242697080267
TCGA-44-5644-01A-21R-2039-07,12.251527,-3.5885773,LUAD,4.904532785877284,4.169030427029946,6.244598634203112
TCGA-MN-A4N5-01A-11R-A24X-07,13.14501,-3.9720256,LUAD,5.183878907439276,4.433909771007623,4.531192322798669
TCGA-78-7145-01A-11R-2039-07,12.339013,-4.689136,LUAD,5.279981917213784,4.415378770895484,4.728199663035633
TCGA-05-5420-01A-01R-1628-07,13.405768,-2.3773024,LUAD,4.023528821659567,3.737686484563426,1.88944129474999
TCGA-55-7911-01A-11R-2170-07,13.560869,-4.138357,LUAD,5.435804937056303,4.398077142137682,3.880156742377365
TCGA-44-7661-01A-11R-2066-07,11.989613,-5.423376,LUAD,5.541594054044388,4.747190982321673,5.5565271320034695
TCGA-97-7941-01A-11R-2187-07,13.218632,-5.199999,LUAD,4.954847877360155,4.558528297031948,3.902150757179196
TCGA-97-7554-01A-11R-2039-07,12.570381,-5.2478595,LUAD,5.525675013099572,4.4843320615804085,6.405001462675209
TCGA-55-7815-01A-11R-2170-07,13.478208,-5.9603763,LUAD,5.210151715770772,4.258522576444851,3.2051806273902512
TCGA-55-6985-01A-11R-1949-07,12.279629,-4.9060507,LUAD,5.329781952050565,4.627219232662915,5.2395303988359565
TCGA-91-7771-01A-11R-2170-07,12.908561,-5.9119735,LUAD,5.034380442608732,4.526824727677325,3.4816186855817586
TCGA-69-7764-01A-11R-2170-07,13.025009,-4.537247,LUAD,4.9070171799327404,4.244057730682209,4.798502638958275
TCGA-55-8092-01A-11R-2241-07,11.897572,-4.092014,LUAD,4.957593683317262,4.304572950710885,3.077364670104366
TCGA-62-A46O-01A-11R-A24H-07,11.648983,-4.338827,LUAD,4.887367997850543,4.086681108842039,5.350783897657693
TCGA-99-8032-01A-11R-2241-07,12.024366,-3.6843166,LUAD,4.847267664445759,4.279301663226225,3.375985581650662
TCGA-91-6828-01A-11R-1858-07,12.810479,-5.596559,LUAD,5.626063495317326,4.710769387139916,4.79343767953558
TCGA-L9-A50W-01A-12R-A39D-07,13.552605,-3.5629127,LUAD,4.740983454598728,4.193751922399082,5.353894741886877
TCGA-55-8505-01A-11R-2403-07,11.920051,-4.6658635,LUAD,4.881134174250924,4.527731833050368,3.84276297003279
TCGA-97-7937-01A-11R-2170-07,12.469593,-4.19352,LUAD,5.252663370085862,4.214597770137259,5.311383195956305
TCGA-97-8179-01A-11R-2287-07,12.747234,-4.152473,LUAD,4.944577740535588,4.245349114576209,4.442965173809527
TCGA-05-5715-01A-01R-1628-07,13.118896,-3.2151043,LUAD,4.5915184781474485,4.082216648581058,4.092396581204148
TCGA-50-6592-01A-11R-1755-07,12.12989,-5.4226813,LUAD,5.347991378592956,4.582983176821841,3.925681067439113
TCGA-78-8640-01A-11R-2403-07,11.72314,-3.5451632,LUAD,4.8550422424200885,4.191006647660808,1.7051084005741994
TCGA-86-8585-01A-11R-2403-07,11.666456,-3.2621205,LUAD,4.350004972098876,4.162353899901844,1.0426490692987616
TCGA-50-5931-01A-11R-1755-07,11.482098,-4.323808,LUAD,5.098479396351594,4.255541385085933,3.9925596262678926
TCGA-93-8067-01A-11R-2287-07,12.07107,-4.121054,LUAD,4.967640534394366,4.2272184021706805,3.797947346481515
TCGA-44-2656-01A-02R-0946-07,13.451787,-4.244447,LUAD,5.0758901596195285,4.337173495452395,5.624706521825971
TCGA-44-2665-01A-01R-A278-07,13.727782,-5.6477766,LUAD,5.167919949161377,4.076443285966871,5.036782083954676
TCGA-86-8668-01A-11R-2403-07,13.181069,-4.959369,LUAD,5.236443787664121,4.476697461579721,7.756290082047633
TCGA-MP-A4T8-01A-11R-A24X-07,11.617466,-3.9347794,LUAD,5.045151441167472,4.322124170253542,3.781319049643994
