sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-44-8117-01A-11R-2241-07,5.9267497,5.1329265,LUAD,4.411993955893246,5.841015368985519,5.948055967491136
TCGA-50-5936-01A-11R-1628-07,5.1548724,4.4779663,LUAD,4.5584541458732275,5.627371941250966,4.90864110882611
TCGA-55-A494-01A-11R-A24X-07,6.3274393,3.7559726,LUAD,3.604370630498942,5.681372140925881,5.058510744294819
TCGA-78-7160-01A-11R-2039-07,2.0889473,5.1365213,LUAD,5.379767198743046,5.633045856575889,3.980713434741056
TCGA-78-7158-01A-11R-2039-07,6.1696215,3.6920753,LUAD,3.9246711627688184,5.527677048128275,4.651722588960762
TCGA-78-7149-01A-11R-2039-07,5.272638,2.2839193,LUAD,3.633164554791203,4.866310924542161,2.3595935500237446
TCGA-64-5775-01A-01R-1628-07,5.4384236,5.1251616,LUAD,4.103029232140247,5.381553735648899,4.32208720153633
TCGA-78-7147-01A-11R-2039-07,4.22127,3.321807,LUAD,4.73200077180004,5.442561579626214,6.180131928092207
TCGA-44-6777-01A-11R-1858-07,2.3319778,5.4538374,LUAD,5.357982304506741,5.657962779462454,5.6704269226697095
TCGA-49-4490-01A-21R-1858-07,4.510694,2.577974,LUAD,4.286792228506167,5.287952822391421,4.369210289261495
TCGA-NJ-A4YF-01A-12R-A262-07,5.782655,3.084903,LUAD,3.843580220727864,5.288828748973499,2.5036517356399206
TCGA-44-5643-01A-01R-1628-07,4.342224,4.5337734,LUAD,4.737776136520045,5.747384201247395,4.353343356674013
TCGA-86-8674-01A-21R-2403-07,5.7737885,2.6426587,LUAD,3.6165918834253805,4.87158492065034,2.171268157102596
TCGA-99-8033-01A-11R-2241-07,2.809331,4.2106977,LUAD,5.344147848840258,5.588273793378795,5.227495803740231
TCGA-91-8497-01A-11R-2403-07,2.3914194,3.5451174,LUAD,5.153898216275153,5.387460707080168,4.437314221450337
TCGA-86-7711-01A-11R-2066-07,4.7179966,4.812791,LUAD,4.869317760182926,5.463585462638641,4.141177271348972
TCGA-55-7724-01A-11R-2170-07,1.8131802,5.7406626,LUAD,5.235269638199895,5.8216959881144055,5.750997880919063
TCGA-67-3774-01A-01R-0946-07,3.744913,3.8352835,LUAD,4.9925215995571355,5.4920764937493844,2.7869909596860043
TCGA-67-3773-01A-01R-0946-07,4.0840497,1.871629,LUAD,4.632579738181502,4.7902274381768795,3.531742637586959
TCGA-50-8460-01A-11R-2326-07,4.0249515,2.5052798,LUAD,4.639094434523454,4.98063610413451,4.02756030968627
TCGA-44-6146-01A-11R-1755-07,5.635827,4.35772,LUAD,4.090277965872068,5.84331508262082,4.910838114263677
TCGA-86-8280-01A-11R-2287-07,2.0711133,4.236446,LUAD,5.481791521610768,5.582562208131172,5.466151461628475
TCGA-55-8615-01A-11R-2403-07,6.2512774,3.0497851,LUAD,3.8546950831435582,5.155519917385828,4.2075686720953644
TCGA-50-5930-01A-11R-1755-07,4.737843,4.0512094,LUAD,4.780276661212994,5.382403422192867,3.38008499774112
